Issue ID,Epic,Title,Priority,Story Points,Dependencies,Acceptance Criteria
PHX-SEC-001,"Security, identity, authorization",Replace client-trusted auth with enforced server-side authz,P0,13,—,All protected APIs require authenticated identity; server enforces role checks; UI role spoofing fails; privileged access cannot be obtained from client state alone.
PHX-SEC-002,"Security, identity, authorization",Remove or lock down privilege escalation endpoints,P0,5,PHX-SEC-001,No unauthenticated role change endpoints exist; admin-only routes require verified admin authz; all role changes are audited with before/after values.
PHX-SEC-003,"Security, identity, authorization",Bind tenant access to identity entitlements,P0,8,PHX-SEC-001,Tenant context is derived from authenticated scope; arbitrary tenant header switching is rejected; cross-tenant access tests pass.
PHX-SEC-004,"Security, identity, authorization",Secret hygiene and artifact scanning in CI/CD,P0,8,—,No secrets in repo/images/bundles/logs; secret scan and artifact-content validation run in CI; all previously exposed secrets rotated.
PHX-SEC-005,"Security, identity, authorization",Session hardening and revocation,P1,5,PHX-SEC-001,Short-lived sessions/tokens implemented; refresh flow defined; forced logout supported; expired sessions fail safely and cleanly in UI.
PHX-SEC-006,"Security, identity, authorization",Step-up approval for dangerous actions,P1,8,PHX-SEC-001; PHX-SEC-002,"Kill-switch clear, strategy enable, capital-limit changes, and break-glass require stronger auth or maker-checker approval; all such actions are audited."
PHX-AUD-001,"Audit, governance, compliance",Centralized immutable audit store,P0,13,PHX-SEC-001,"Audit events are append-only, centralized, queryable, and durable; tampering is detectable; local JSONL is no longer the system of record."
PHX-AUD-002,"Audit, governance, compliance",Full decision lineage for every trade,P0,13,PHX-AUD-001,"Each order/trade links to strategy version, model version, inputs, regime, policy results, risk checks, and execution outcome; replay artifact exists."
PHX-AUD-003,"Audit, governance, compliance",Configuration and strategy approval workflow,P1,8,PHX-AUD-001; PHX-STRAT-002,"Production config/strategy changes require approval trail; approver, requester, diff, and evidence are stored; rollback is supported."
PHX-AUD-004,"Audit, governance, compliance",Retention and evidence policy implementation,P1,5,PHX-AUD-001,"Retention is defined and enforced for orders, logs, decisions, and model artifacts; evidence pack can be exported for audit."
PHX-AUD-005,"Audit, governance, compliance",User/admin accountability reports,P1,5,PHX-AUD-001,"Weekly or on-demand reports show overrides, rejected checks, break-glass events, kill-switch usage, and privileged actions by actor."
PHX-RISK-001,Trading risk and safety controls,Unified pre-trade policy engine,P0,13,PHX-SEC-001; PHX-AUD-001,"Every order passes through one policy layer; policies enforce instrument, strategy, time-window, venue, capital, and account constraints."
PHX-RISK-002,Trading risk and safety controls,Real-time risk limits engine,P0,13,PHX-RISK-001,"Per-strategy, symbol, account, and portfolio limits are enforced; drawdown, exposure, leverage, and concentration breaches block or reduce trading."
PHX-RISK-003,Trading risk and safety controls,Complete kill-switch and circuit-breaker lifecycle,P0,8,PHX-RISK-001; PHX-SEC-006,Global/strategy/account/symbol kill switch exists; rearm requires approval; state is visible in API/UI/health; tests cover disable/rearm flows.
PHX-RISK-004,Trading risk and safety controls,Stale-quote and market-data safety controls,P0,8,PHX-MD-001; PHX-MD-002,Orders are blocked on stale or degraded data; thresholds are configurable; degrade-to-no-new-orders mode is supported.
PHX-RISK-005,Trading risk and safety controls,Broker/exchange reject handling policy,P0,8,PHX-EXEC-001; PHX-EXEC-002,Reject codes map to retry/no-retry/manual-action policies; duplicate orders are prevented across retries and reconnects.
PHX-RISK-006,Trading risk and safety controls,Intraday and end-of-day reconciliation hardening,P1,8,PHX-AUD-001; PHX-EXEC-001,Position/cash/order reconciliations run on schedule; mismatches are classified; critical mismatches freeze or throttle trading automatically.
PHX-EXEC-001,Execution engine robustness,Formalize order state machine,P0,8,—,"Order states and transitions are explicit, documented, and enforced; invalid transitions are rejected; state-machine tests pass."
PHX-EXEC-002,Execution engine robustness,End-to-end idempotent order submission,P0,8,PHX-EXEC-001,"Retries, reconnects, and duplicate callbacks do not create duplicate live orders; idempotency keys are persisted and validated."
PHX-EXEC-003,Execution engine robustness,Pluggable execution algorithms layer,P1,8,PHX-EXEC-001; PHX-RISK-001,Strategies can choose approved execution styles; execution selection is configurable and auditable; unsafe algorithms cannot bypass policy.
PHX-EXEC-004,Execution engine robustness,Slippage and market-impact measurement,P1,5,PHX-EXEC-003; PHX-AUD-002,"Arrival price, fill quality, shortfall, and slippage are captured per order; dashboards and alerts exist for degradation."
PHX-EXEC-005,Execution engine robustness,Venue/broker failover logic,P1,8,PHX-EXEC-001; PHX-SRE-004,Degraded dependency path is defined; failover behavior is tested; trading falls back safely or pauses when failover conditions fail.
PHX-MD-001,Market data and regime detection,Canonical market data layer,P0,13,—,"Tick, OHLCV, depth, timestamps, and derived features are normalized; quality flags are attached; data consumers use canonical interfaces."
PHX-MD-002,Market data and regime detection,Market data quality validator,P0,8,PHX-MD-001,"Missing ticks, timestamp drift, outliers, duplicate ticks, and crossed-book anomalies are detected; critical anomalies pause trading."
PHX-MD-003,Market data and regime detection,Define market regime taxonomy,P1,5,PHX-MD-001,Regime classes are formally defined with business meaning and strategy implications; documentation is approved by quant and product.
PHX-MD-004,Market data and regime detection,Regime detection engine v1 (deterministic baseline),P1,8,PHX-MD-003,Interpretable baseline classifier exists; thresholds/features are versioned; backtest regime labels are stored and reproducible.
PHX-MD-005,Market data and regime detection,Regime detection engine v2 (ML-based),P2,13,PHX-MD-004; PHX-ML-001; PHX-ML-002,ML regime model beats baseline on agreed metrics; confidence score exposed; drift monitoring and rollback are live.
PHX-MD-006,Market data and regime detection,Event-aware market context layer,P2,8,PHX-MD-001,"Expiry, special sessions, major scheduled events, and auction windows are tagged; policies can adapt to event context."
PHX-STRAT-001,Strategy framework and bounded autonomy,Standard strategy contract,P0,8,PHX-RISK-001,"Every strategy implements common interfaces for inputs, signals, sizing hooks, exits, risk hooks, and explainability output."
PHX-STRAT-002,Strategy framework and bounded autonomy,Strategy versioning and deployment registry,P0,8,—,Only approved versioned strategy artifacts can run in paper/shadow/live; rollback works; version lineage is queryable.
PHX-STRAT-003,Strategy framework and bounded autonomy,Position sizing framework,P1,8,PHX-STRAT-001; PHX-RISK-002,"Size decisions use capital, volatility, liquidity, confidence, and drawdown state; strategies cannot bypass sizing rules."
PHX-STRAT-004,Strategy framework and bounded autonomy,Hierarchical decision engine,P1,13,PHX-STRAT-001; PHX-RISK-001,"Signal generation, risk approval, execution choice, and portfolio constraints are separate layers; AI cannot directly bypass controls."
PHX-STRAT-005,Strategy framework and bounded autonomy,Policy-bounded autonomy envelopes,P1,8,PHX-STRAT-004; PHX-RISK-001; PHX-RISK-002,"Autonomous trading is permitted only within approved capital, turnover, time, symbol, and drawdown envelopes; breaches auto-disable."
PHX-STRAT-006,Strategy framework and bounded autonomy,Strategy conflict resolver,P2,8,PHX-STRAT-004; PHX-PORT-001,Conflicting strategy actions are resolved by portfolio policy; no uncontrolled overtrading or duplicate intent on same instrument.
PHX-ML-001,ML/AI platform and model governance,Feature store and dataset lineage,P1,13,PHX-MD-001,Training and inference use governed feature definitions; lineage exists for every dataset and feature version; train/serve skew is measured.
PHX-ML-002,ML/AI platform and model governance,Model registry with approvals,P1,8,—,"Every model has owner, version, metrics, training window, status, and approval state; only approved models can reach shadow/live."
PHX-ML-003,ML/AI platform and model governance,Shadow inference in production,P1,8,PHX-ML-001; PHX-ML-002; PHX-SIM-004,Models score live streams without affecting orders; shadow decisions are stored and compared against real outcomes.
PHX-ML-004,ML/AI platform and model governance,"Drift, calibration, and degradation monitoring",P1,8,PHX-ML-003,"Feature drift, label drift, calibration, and performance degradation are monitored; thresholds trigger alerting and auto-demotion."
PHX-ML-005,ML/AI platform and model governance,Explainability payloads for model decisions,P1,5,PHX-ML-002; PHX-AUD-002,"Model outputs store top drivers, confidence, threshold crossings, and rejected alternatives; explainability is viewable in UI."
PHX-ML-006,ML/AI platform and model governance,Human-reviewed retraining workflow,P2,8,PHX-ML-001; PHX-ML-002; PHX-QA-006,Retrained models cannot auto-promote to live; approval requires validation evidence and signoff; rollback to prior model is supported.
PHX-ML-007,ML/AI platform and model governance,LLM usage boundaries and AI governance,P1,5,PHX-SEC-001; PHX-AUD-001,"LLMs are restricted to explanation, anomaly surfacing, and research assistance unless deterministic guardrails exist; no direct unrestricted order placement."
PHX-SIM-001,"Backtesting, replay, paper, shadow",High-fidelity backtest framework,P0,13,PHX-STRAT-001; PHX-MD-001,"Backtests include fees, slippage, latency, partial fills, rejects, and data gaps; results are reproducible and versioned."
PHX-SIM-002,"Backtesting, replay, paper, shadow",Historical market and decision replay,P0,13,PHX-AUD-002; PHX-MD-001,"Any incident or trading day can be replayed deterministically with orders, risk checks, data events, and decisions."
PHX-SIM-003,"Backtesting, replay, paper, shadow",Paper trading environment parity,P0,8,PHX-STRAT-001; PHX-EXEC-001,Paper trading uses the same code path as live except execution sink; environment separation is strict and visible.
PHX-SIM-004,"Backtesting, replay, paper, shadow",Shadow live mode,P1,8,PHX-SIM-003; PHX-ML-002,System generates hypothetical live actions alongside supervised trading; shadow-vs-live deltas are measurable and reviewable.
PHX-SIM-005,"Backtesting, replay, paper, shadow",Progressive rollout ladder,P1,5,PHX-SIM-003; PHX-SIM-004; PHX-STRAT-005,Deployment states disabled/paper/shadow/micro-live/capped-live/scaled-live are implemented with quantitative promotion criteria.
PHX-SRE-001,Observability and operational resilience,Unified telemetry and tracing,P0,13,PHX-AUD-001,Request/decision/order/broker events share correlation IDs; traces join UI action to live outcome; dashboards exist.
PHX-SRE-002,Observability and operational resilience,Trading-specific alerting,P0,8,PHX-SRE-001,"Alerts fire for stale data, missing fills, reconcile mismatches, rejection spikes, latency spikes, abnormal turnover, and model drift."
PHX-SRE-003,Observability and operational resilience,Trading SLOs and error budgets,P1,5,PHX-SRE-001,"SLOs exist for data freshness, decision latency, order ack, reconciliation freshness, and alert response; error budgets are reviewed."
PHX-SRE-004,Observability and operational resilience,Graceful degradation modes,P1,8,PHX-RISK-003; PHX-MD-002,"Platform can degrade to read-only, close-only, no-new-orders, or supervised-only; dependency failure behavior is deterministic and tested."
PHX-SRE-005,Observability and operational resilience,Incident tooling and postmortem workflow,P1,5,PHX-SRE-001,One-click incident snapshot exists; postmortem template and action tracking are standardized; incidents can be reconstructed.
PHX-UX-001,"UX, control tower, operator experience",Replace free-text tenant switching,P0,5,PHX-SEC-003,Tenant selection is entitlement-aware and not manual text entry; switching unauthorized tenants is impossible from UI.
PHX-UX-002,"UX, control tower, operator experience",Redesign Control Tower,P1,8,PHX-RISK-003; PHX-MD-004; PHX-SRE-001,"Screen shows strategy state, current regime, risk consumption, active policies, blocked actions, health, and kill-switch status clearly."
PHX-UX-003,"UX, control tower, operator experience",Decision explainability UI,P1,8,PHX-AUD-002; PHX-ML-005,"User can inspect why a trade was or was not taken; signal, regime, risk, policy, and execution rationale are visible."
PHX-UX-004,"UX, control tower, operator experience",Incident and override console,P1,8,PHX-AUD-001; PHX-RISK-003,"Manual overrides are explicit, bounded, reversible where allowed, and fully audited; current override state is visible."
PHX-UX-005,"UX, control tower, operator experience",Accessibility remediation,P1,8,—,"Labels, focus states, dialogs, keyboard navigation, reduced motion, contrast, and status semantics meet internal accessibility standard."
PHX-QA-001,Testing and validation,Restore and ship full automated test suite,P0,8,—,"Unit, integration, contract, and E2E tests are present in repo and run in CI; release candidates include test artifacts."
PHX-QA-002,Testing and validation,Critical-path integration tests,P0,13,PHX-SEC-001; PHX-RISK-001; PHX-EXEC-001,"Tests cover auth, authz, tenant isolation, order submission, rejects, reconciliation, kill switch, and session expiry."
PHX-QA-003,Testing and validation,Property-based and fuzz testing for state machines,P1,8,PHX-EXEC-001,"Invalid state transitions, timing races, duplicate callbacks, and malformed inputs are automatically explored and safely handled."
PHX-QA-004,Testing and validation,"Performance, load, and soak testing",P1,8,PHX-SRE-001,"Tests cover market-open bursts, reconnect storms, long-running sessions, and large portfolio volumes; thresholds are documented."
PHX-QA-005,Testing and validation,Chaos and dependency-failure testing,P1,8,PHX-SRE-004,"Broker outage, stale feed, DB failover, delayed fills, message duplication, and clock skew scenarios are executed and pass defined outcomes."
PHX-QA-006,Testing and validation,Model validation pack,P1,8,PHX-SIM-001; PHX-ML-002,"Walk-forward, regime-wise, drawdown, stability, stress-window, and ablation tests exist for every promoted model."
PHX-DEVOPS-001,"DevSecOps, release, SDLC hardening",CI/CD gated promotion pipeline,P0,8,PHX-QA-001; PHX-SEC-004,"Build, lint, test, scan, sign, and deploy gates exist; critical failures block promotion automatically."
PHX-DEVOPS-002,"DevSecOps, release, SDLC hardening",Dependency and container hardening,P0,5,PHX-SEC-004,"SBOM, vulnerability scans, base-image policy, patch SLAs, and .dockerignore are in place and enforced."
PHX-DEVOPS-003,"DevSecOps, release, SDLC hardening",Strict environment separation,P0,8,PHX-SEC-004,"Dev/test/paper/shadow/live environments are isolated by credentials, configs, data, and network path; accidental crossover tests fail."
PHX-DEVOPS-004,"DevSecOps, release, SDLC hardening",Safe rollback for code and config,P1,5,PHX-DEVOPS-001; PHX-AUD-003,"Code rollback and config/strategy rollback are one-step, documented, tested, and auditable."
PHX-DEVOPS-005,"DevSecOps, release, SDLC hardening",Release policy and approval windows,P1,3,PHX-DEVOPS-001,"Trading-hours release rules, freeze windows, and approval requirements are documented and enforced operationally."
PHX-PRIV-001,Privacy and data protection,Data inventory and classification,P1,5,—,"Personal data, sensitive operational data, secrets, logs, and model artifacts are classified and owned."
PHX-PRIV-002,Privacy and data protection,Data minimization and masking,P1,5,PHX-PRIV-001,"Logs, UI, and exports mask sensitive fields; only necessary personal data is stored and exposed by role."
PHX-PRIV-003,Privacy and data protection,Retention and deletion workflows,P2,8,PHX-PRIV-001; PHX-AUD-004,Retention schedules are enforced; deletion/export workflows exist where applicable; exceptions are documented.
PHX-PRIV-004,Privacy and data protection,"Notice, access transparency, and privacy controls",P2,5,PHX-PRIV-001,User/admin data processing notices exist; access to personal data is logged; privacy controls are documented and tested.
PHX-PORT-001,Portfolio intelligence and adaptive behavior,Portfolio construction layer,P2,8,PHX-STRAT-004; PHX-RISK-002,Multiple strategies compete for capital through portfolio rules; portfolio-level constraints override local strategy intent when needed.
PHX-PORT-002,Portfolio intelligence and adaptive behavior,Dynamic capital allocator,P2,8,PHX-PORT-001; PHX-MD-004; PHX-STRAT-003,"Allocation responds to regime, confidence, drawdown, and correlation within policy bounds; changes are auditable and bounded."
PHX-PORT-003,Portfolio intelligence and adaptive behavior,Regime-to-strategy routing,P2,8,PHX-MD-004; PHX-PORT-001,Strategy activation/deactivation is driven by approved regime routing rules; routing version is recorded for every decision.
PHX-PORT-004,Portfolio intelligence and adaptive behavior,Self-evaluation and auto-throttling,P2,8,PHX-PORT-002; PHX-ML-004; PHX-RISK-002,"If live behavior deviates from expected envelope, strategy is throttled, demoted, or disabled automatically; alerts are raised."
PHX-PORT-005,Portfolio intelligence and adaptive behavior,Continuous learning sandbox,P3,13,PHX-ML-006; PHX-SIM-002,Online or continuous learning is allowed only in sandbox; no direct self-modification of live trading behavior occurs.
